Fecha,VERIZON COMMUNICATIONS INC,WAL MART STORES INC,COCA COLA CO,INTEL CORP,CITIGROUP INC,DISNEY WALT CO,COMCAST CORP NEW,HOME DEPOT INC,MERCK & CO INC NEW,INTERNATIONAL BUSINESS MACHS COR
1/31/07,0.044253221,0.032174795,-0.00769755,0.034461328,-0.010285717,0.025923075,0.046616375,0.014338708,0.026034151,0.020377952
2/1/07,-0.029507084,0.012917212,-0.025382425,-0.048258955,-0.079634291,-0.026507233,-0.139378166,-0.02863407,-0.013498699,-0.061457406
2/2/07,0.013808226,-0.023880892,0.034943309,-0.037449563,0.019074912,0.005241241,0.008903248,-0.068605447,0.009019204,0.014103082
2/3/07,0.017385001,0.020449477,0.083690201,0.116794992,0.043452133,0.015847758,0.026992405,0.030293484,0.152369952,0.080972429
2/4/07,0.131138783,-0.002089181,0.015212698,0.036193058,0.025956204,0.013064289,0.027743563,0.02606338,0.01944472,0.045799029
2/5/07,-0.055740008,0.010657012,-0.006436671,0.067970749,-0.060521002,-0.023352561,0.0255732,0.017974487,-0.044243466,-0.012744872
2/6/07,0.044071429,-0.045936091,-0.003830326,-0.005063799,-0.096539535,-0.033962243,-0.068052956,-0.056993722,-0.003016545,0.050033201
2/7/07,-0.017515505,-0.046779287,0.031545178,0.090700481,0.018087432,0.018018684,-0.006875583,0.036064777,0.010418538,0.056571241
2/8/07,0.055725109,0.000457895,0.072260195,0.004262901,-0.004490065,0.023239851,-0.076026118,-0.166319082,0.0371715,0.009467046
2/9/07,0.04891968,0.035115182,0.071993166,0.039429345,-0.10781575,0.006954759,-0.138625488,-0.029086954,0.119651511,-0.014363665
2/10/07,-0.064089555,0.057797099,0.010949831,-0.026653058,-0.213642579,-0.043677108,-0.024526326,-0.090451104,0.018704966,-0.095154992
2/11/07,0.011047748,-0.003136915,-0.011824636,0.02199532,-0.123203198,-0.015810327,-0.117661418,-0.058395296,-0.01476446,0.027383623
2/12/07,-0.106912831,0.065353189,-0.039383446,-0.2338911,-0.032801123,-0.078598501,-0.005491048,0.128693961,-0.231524826,-0.009200192
2/13/07,-0.066824866,-0.022925799,-0.009195146,-0.04868302,-0.172360137,0.082617237,0.073242097,-0.143277013,-0.039828738,0.064620393
2/14/07,0.003572611,0.064944689,0.046621147,0.058831014,-0.101572145,-0.032295945,-0.007061876,0.060115316,-0.144751821,0.011179278
2/15/07,0.133957302,0.095861846,-0.033408914,0.049733529,0.165293228,0.032913364,0.060685796,0.029243218,0.002369191,0.047159311
2/16/07,-0.000260034,-4.30009E-05,-0.027728918,0.04651997,-0.129075051,0.035442431,0.090654815,-0.051293294,0.023897174,0.073688098
2/17/07,-0.083166415,-0.027033124,-0.089459827,-0.076167476,-0.267035357,-0.074108434,-0.170656657,-0.145930227,-0.023108967,-0.087973658
2/18/07,-0.026622248,0.042158701,-0.009276898,0.032519464,0.125969876,-0.027621999,0.086429041,0.017354535,-0.135921676,0.076708231
2/19/07,0.031234097,0.01165976,0.011007198,0.03628757,0.015923545,0.063817636,0.026795765,0.129325937,0.080836854,-0.045969596
2/20/07,-0.090226722,0.013786528,0.022596759,-0.199699279,0.076999929,-0.05267741,-0.075998065,-0.037762097,-0.110451229,-0.039973396
2/21/07,-0.06302287,-0.070556593,-0.182473168,-0.155601732,-0.395519728,-0.169307804,-0.215625632,-0.093033473,-0.019517228,-0.229555313
2/22/07,0.095708282,0.001253214,0.06990006,-0.139762192,-0.498689565,-0.140224599,0.095541062,-0.020557872,-0.146960591,-0.12433835
2/23/07,0.037570314,0.00744323,-0.034733277,0.060454254,-0.211450927,0.022828437,-0.026886217,0.005825002,0.141452686,0.030890924
2/24/07,-0.111277989,-0.173725013,-0.057977691,-0.127895873,-0.63383919,-0.092756942,-0.13743156,-0.066915744,-0.062785392,0.085257089
2/25/07,-0.045898399,0.04400923,-0.044759946,-0.001551202,-0.861482995,-0.209576008,-0.114885737,-0.030176773,-0.165303981,0.009556194
2/26/07,0.056885877,0.061675364,0.082431237,0.165301704,0.522754392,0.079629699,0.043452133,0.129784507,0.114287154,0.05146183
2/27/07,0.019673207,-0.03317423,-0.020690581,0.048694922,0.186922622,0.18726515,0.129606199,0.110779009,-0.09853056,0.0631898
2/28/07,-0.036246022,-0.007717705,0.132718062,0.005057191,0.19858197,0.100692035,-0.115763327,-0.127902692,0.129086906,0.034472922
3/1/07,0.049017757,-0.026483615,-0.015580752,0.051452332,-0.225161837,-0.037438143,0.048893968,0.02956754,0.027183167,-0.017655953
3/2/07,0.056923664,0.02929469,0.03782551,0.151124964,0.065169572,0.073924027,0.031819352,0.093269007,0.070755717,0.121669695
3/3/07,-0.032644067,0.024995981,-0.021702812,0.060960565,0.455706283,0.035969279,0.030486527,0.050733988,0.077553458,0.005664924
3/4/07,-0.025119879,-0.035617851,0.103904056,-0.037607375,-0.032523192,0.053096118,0.096970619,-0.015696549,-0.013035595,0.013128444
3/5/07,-0.006795034,0.011947345,-0.007289504,-0.023785649,-0.168370132,-0.003282381,-0.147335953,-0.059944291,-0.022379565,0.00832624
3/6/07,0.061280407,0.093514933,0.077571966,0.011964143,0.004878083,0.099056789,0.01097357,0.086612464,0.157608694,0.050837591
3/7/07,0.051722052,-0.015286242,-0.003503129,0.060624622,-0.216474588,0.075808525,0.139821071,0.06354459,0.01941824,0.035377762
3/8/07,-0.102748375,-0.00037407,-0.049448681,-0.050262247,0.003016446,-0.087434376,-0.057084769,-0.032317634,0.04390396,-0.067220514
3/9/07,-0.016795254,0.011906831,-0.028608344,0.064256606,0.023810272,0.055615391,0.037810103,0.107856598,-0.034642171,0.042549781
3/10/07,0.069752716,0.033329355,0.050306157,0.08225073,0.174941054,0.111074361,0.13573384,0.04347224,0.022786407,0.008535469
3/11/07,-0.054487865,-0.035888352,-0.028586735,0.024375489,0.076045808,0.053810873,0.053482945,0.085283719,-0.06384223,0.005830967
3/12/07,-0.048928724,-0.053168736,-0.039108879,-0.056862458,-0.098518421,-0.097429825,-0.088806077,-0.039663291,-0.039288795,-0.024244538
3/13/07,0.018005916,-0.050502029,-0.016477003,-0.096477861,-0.051825015,-0.059167372,-0.040614724,-0.179151786,0.048097543,-0.014311929
3/14/07,0.220634807,0.062885593,0.094911009,0.05744404,0.086568446,0.06721369,0.118971662,0.015553416,-0.014691392,0.039070702
3/15/07,0.01604361,-0.014709659,0.01391967,-0.14482926,-0.100224837,-0.034731206,-0.130089323,-0.016043004,0.020109443,-0.036644275
3/16/07,0.098598404,0.06523609,0.053608063,0.083325007,0.052774597,0.017063585,0.056020155,0.129930291,0.056130775,0.085643609
3/17/07,0.011516431,0.012071841,0.046737583,0.043319034,0.064378508,0.087452113,0.136293325,-0.024929166,-0.013676093,0.068147314
3/18/07,-0.014575711,-0.001478092,0.036664564,0.061181643,0.007168247,0.010600614,-0.029047833,-0.014792877,-0.052004073,-0.010430206
3/19/07,0.111340997,0.002631534,0.040334516,-0.00604423,0.118841142,0.037629063,0.092197158,0.148887999,0.055028759,0.036781202
3/20/07,0.009111365,0.038913935,-0.045412724,0.020240767,0.018849232,0.035615183,0.039032234,0.047621863,-0.082983862,0.098797728
3/21/07,0.035845794,-0.075742384,0.016881699,0.00887054,-0.029476186,0.118039892,0.124258028,0.018858064,-0.018254606,0.003266659
3/22/07,0.042943582,0.008334174,0.044220692,-0.061964769,-0.057158884,-0.014972531,-0.041210612,-0.004279142,0.024865281,0.007324113
3/23/07,-0.007096118,0.054764662,0.016742066,0.137302398,0.037740772,0.000231973,0.062811406,0.002425057,0.085318612,0.04502499
3/24/07,-0.022755964,0.010943897,-0.009681717,-0.02001803,-0.231347109,-0.034702217,-0.037711213,-0.023697583,0.022009015,-0.005289967
3/25/07,0.008090186,-0.038395774,0.014118858,-0.015671154,0.011837658,-0.064234567,0.003954172,0.005223335,-0.029828479,0.015389965
3/26/07,-0.039795438,-0.008124918,0.01064316,0.007641727,-0.082307186,-0.010816286,-0.048824765,-0.036265723,-0.033422356,0.058307587
3/27/07,0.024492593,0.015903861,0.035248411,-0.093341918,-0.210895121,-0.125645993,-0.110368591,-0.03792723,-0.030794315,-0.051857664
3/28/07,0.017405639,-0.024551947,-0.034954865,0.058137767,-0.192420379,-0.121607339,-0.027812198,-0.015396927,-0.000453103,0.01707145
3/29/07,0.018309356,0.088808178,0.011186201,0.139955837,0.209662691,0.145397338,0.118951242,0.085387476,0.053584368,0.054311086
3/30/07,0.02007808,0.037713809,-0.009116429,0.023360018,-0.139018419,0.027430325,-0.033827761,0.098605653,0.035591057,0.022069663
3/31/07,0.0614196,0.020584674,0.039947372,-0.026852318,-0.043508934,0.06087118,0.049587941,0.069434641,0.064189085,-0.022158701
4/1/07,-0.050086654,0.026421848,-0.035494544,0.085705108,0.15496492,0.036652996,0.114262178,0.054392537,0.015005847,0.046331907
4/2/07,0.011878174,-0.037865951,0.033921118,0.02504377,0.081544042,0.07643683,0.101005747,0.069188319,-0.00261642,0.025021339
4/3/07,0.003144052,0.041729103,0.064574458,0.044920783,0.092523574,0.041745408,0.020366194,0.061749636,0.016885632,0.0588263
4/4/07,0.067020127,-0.038136022,0.03073481,0.009909736,-0.100810881,-0.015422315,0.016442085,0.028993594,0.021639175,-0.007553456
4/5/07,0.030727052,0.116933786,-0.021053069,-0.086195346,-0.219971089,0.058562261,-0.048443674,-0.042601702,-0.043224879,-0.066536249
4/6/07,0.065078688,0.057563943,0.051761935,0.030865715,0.033385452,0.059246732,0.105680764,0.071368581,0.115236685,0.013797377
4/7/07,0.026644852,0.065371924,0.032834983,-0.036297869,-0.010267531,0.013109691,0.017979398,-0.015404035,0.056346306,0.002042912
4/8/07,-0.049964704,-0.019433615,-0.077158621,-0.0254173,0.091179844,0.006693548,0.029663651,0.089053374,-0.025684029,-0.001430022
4/9/07,0.059445574,0.016393883,0.020771765,-0.091672405,0.096503104,0.055247367,0.063969609,0.061837063,0.05567971,0.062660196
4/10/07,-0.009148722,0.01639585,-0.019971101,-0.046299469,0.133416636,-0.062347856,0.052917824,0.016591595,0.011794174,-0.064303882
4/11/07,-0.011717381,-0.040810536,0.026410161,-0.08890444,-0.078128042,0.010934005,-0.008832895,0.062826431,-0.029581242,-0.01873236
4/12/07,-0.019454008,-0.04825056,-0.045039208,0.052519392,0.134832421,0.017565814,0.008766462,-0.050751336,-0.068428745,0.007756838
4/13/07,0.019567305,0.024896494,0.026943735,0.020164327,0.063890811,0.078945183,0.019088647,0.078786226,0.05488962,0.058401918
4/14/07,0.064810672,0.011796151,0.038972605,0.003084239,-0.004517187,0.013090939,0.043925972,0.023335595,-0.012095861,-0.006868534
4/15/07,0.054779809,0.061903803,0.050363212,0.044722856,0.052674041,0.03968599,0.053577733,0.024087552,0.043504793,0.060240548
4/16/07,0.101946294,0.037893872,0.045676751,0.092454287,0.053258263,0.101055462,-0.011620254,0.049895268,0.061422421,-0.051761825
4/17/07,-0.106164172,-0.031499955,-0.056866692,0.022908583,0.108356523,0.003811726,-0.027866695,0.0698926,-0.006403458,0.031253482
4/18/07,0.037648324,-0.004687971,0.009952311,-0.002061123,-0.080476052,0.001109384,0.038703272,-0.010222068,0.003846592,-0.084784767
4/19/07,-0.00687659,0.045274468,-0.00074828,-0.037637487,0.083356289,0.023475287,0.081055425,0.019936932,0.036359894,0.020355416
4/20/07,-0.043367941,-0.059333955,-0.048565439,-0.049636772,-0.075673351,-0.060904599,-0.068629009,-0.059163128,-0.018437939,-0.062517099
4/21/07,-0.014991818,0.013338643,-0.000524137,0.04192091,0.003717083,0.058427386,0.073717825,0.023221287,0.015713888,0.0158389
4/22/07,0.089400936,0.03702889,0.043648396,0.065394405,0.005755406,0.061636815,0.053617541,0.026539686,-0.054361153,-0.032770123
4/23/07,-0.01777708,0.054019325,0.022489211,-0.016689498,0.081461086,0.028033368,0.046586786,0.035068837,0.099956641,0.00789277
4/24/07,-0.009721097,-0.023101804,0.027486754,0.08499902,-0.015424346,0.090996343,0.044895925,0.025215403,0.013158052,0.042974237
4/25/07,-0.012078654,-0.052303278,-0.088266346,-0.056059371,-0.093890987,-0.050879696,0.04671277,-0.0690018,0.056703533,-0.059811577
4/26/07,-0.009205239,0.000267964,0.009997854,0.01797154,0.024985253,0.106997974,-0.052018821,0.065229532,0.073150085,0.052051507
4/27/07,-0.000210022,0.029155808,0.019828117,0.04168786,-0.021407514,-0.009199183,-0.027955129,-0.030070623,0.003852569,0.03876965
4/28/07,-0.006538328,0.042019677,0.053631758,0.033371911,0.006491882,-0.009158814,0.033794479,0.004790507,0.031044106,0.020465153
4/29/07,0.06683588,-0.031348262,0.002937681,0.031531612,-0.006911832,0.057193802,0.00846507,0.009014249,-0.012026024,-0.057670427
4/30/07,-0.020831476,-0.022392859,0.042004335,0.123137563,-0.009929131,0.020383831,0.032140903,0.014846247,0.007404519,-0.016903055
5/1/07,0.040453607,-0.020047617,-0.075234453,0.092364026,0.037913128,0.001631668,0.000930567,-0.001359924,-0.019373459,0.05578753
5/2/07,-0.011971372,0.032097325,0.060010786,0.036362787,0.054508071,0.045524839,0.018257316,0.145366209,0.057697047,0.008985509
5/3/07,0.003406192,0.012766165,0.029405392,-0.002868109,0.003285597,-0.009502001,-0.013153124,-0.013893063,-0.006509139,-0.01292821
5/4/07,0.016073132,-0.002618425,-0.018453218,-0.023537855,0.032653039,0.026053637,0.028775,0.061098862,-0.02286441,-0.143826491
5/5/07,0.006743213,0.137816573,0.074849554,0.097019627,0.0081864,0.012290166,0.030076144,0.019094534,0.041581386,-0.006896728
5/6/07,-0.078297814,-0.01357168,-0.059983577,-0.026109916,0.002590641,0.030132424,0.016863017,0.058990346,-0.053736276,-0.010725311
5/7/07,-0.011178244,-0.010535302,-0.025184484,-0.093822886,-0.141722563,-0.034893768,-0.083366392,-0.005253777,0.059639666,-0.045457723
5/8/07,0.078644808,-0.01243297,0.050443083,0.013528081,0.110205062,0.134739787,0.110933856,0.094334249,-0.029289788,0.061533385
5/9/07,-0.01672102,-0.014279468,-0.057511535,-0.061395732,-0.017318096,0.007751876,-0.045830349,-0.004804523,-0.010474668,-0.00893177
5/10/07,0.047389183,-0.052413922,0.00024697,0.040118387,0.034341522,0.03586316,0.022586983,-0.060130119,0.035547629,0.065063696
5/11/07,-0.020025172,-0.043067221,0.009813688,0.063962105,0.015076772,0.015062982,0.012046153,0.040664862,0.022084336,-0.001986973
5/12/07,-0.058944596,-0.046013572,-0.034777798,-0.124862788,0.021223186,0.033587569,0.032480743,0.00268938,-0.059373218,-0.042074862
5/13/07,0.015540617,0.014694505,0.046079828,-0.04936568,0.05751013,0.055551067,0.03705009,0.051729649,0.035036974,-0.004127506
5/14/07,-0.016810508,-0.098622158,-0.043787847,-0.005889308,-0.089034513,-0.163696093,-0.10249795,-0.004882902,-0.090656923,-0.082313701
5/15/07,-0.055867953,0.001697558,0.02833378,0.054546896,-0.075114787,0.003136077,0.00971664,-0.003268335,-0.077384411,-0.019941517
5/16/07,0.086580367,-0.124670198,0.054093221,0.116381165,0.070242224,0.106983598,0.100124934,0.068190283,0.101384421,-0.034313016
5/17/07,-0.030977899,0.027568473,0.014068572,0.033398992,0.017155008,-0.002376822,-0.028508534,0.079569673,-0.03065201,0.004558594
5/18/07,0.016800085,0.04891968,0.007945352,-0.009245609,-0.044224652,-0.070082393,-0.075575202,-0.007798328,0.005080075,-0.012995071
5/19/07,0.089253694,0.07931475,-0.000931434,-0.104877299,-0.193866342,-0.092250166,-0.00836388,-0.050319032,-0.041555597,-0.097864239
5/20/07,0.015094503,-0.000301045,0.004881068,-0.038447732,-0.091676789,-0.003135912,0.035617113,-0.01312678,-0.009119456,0.058665999
5/21/07,0.063947096,0.039168789,0.080381112,0.089177779,0.071991305,0.03891105,0.056407743,0.077485903,0.061034891,0.144829083
5/22/07,-0.048785914,-0.023937223,-0.034876164,-0.066126982,0.10409061,0.039003382,-0.000737272,0.003442069,0.035827463,-0.037060328
5/23/07,-0.000785308,0.063865482,-0.004473993,0.050549568,0.00624645,-0.039910951,0.040953826,-0.008098706,0.025563453,0.061132728
5/24/07,0.092627494,0.031156554,0.023926466,0.03758765,-0.094043682,-0.014210492,0.029420929,-0.034105021,0.03166532,-0.012830966
5/25/07,0.002415081,-0.000685235,-0.03822433,0.060911639,0.036595154,-0.011929879,0.035191453,0.079385877,0.018061897,0.056609041
